genes,logFC,logCPM,PValue
GLIS3,-0.0868994274046838,10.7560476653701,0.195825047268954
RPS6,0.0748849290260755,13.0256838265061,1.27377856234766E-11
SLC24A2,0.00547515207643406,10.21309799032,0.718995621952084
IZUMO3,-0.00796782896279473,10.2120143709071,0.30763732641582
DNAJA1,-0.170473430173471,11.6916197465356,2.7553549464017E-07
CCL21,0.170870242553356,15.3081123636259,9.39350504324395E-13
RUSC2,0.119868741999723,10.240791563172,0.000145573769686914
TPM2,-0.000640830041090447,10.2375286550475,1
RNF38,-0.0962927283595971,10.5234707926493,0.452480208326414
PGM5,-0.270253960983097,10.7584312434824,2.09181752511677E-19
CEMIP2,-0.225444798863626,10.6661299162454,9.58861171241501E-05
ANXA1,0.111781130453015,11.6157428462187,8.94990434173734E-07
GNA14,-0.104223243706532,10.2885709250978,0.0709819982041151
NTRK2,0.00469577037440434,10.2148136412693,0.83442206327625
COL15A1,0.0422374743614041,10.2133515787895,0.00537349763549318
KLF4,-0.448095421300852,11.4179629558464,1.30439209956087E-85
PALM2AKAP2,-0.00295578629468954,11.0646832836247,0.743726041742376
TXN,-0.122863027798376,11.5907370857052,1.06178843733557E-08
SVEP1,0.0492425601868038,10.2142784999471,0.0067341223989095
TNC,0.0143743395385647,10.2149673759212,0.202872204999827
PBX3,0.288349453476254,10.3219987311982,1.19729307990918E-14
RPL12,0.0749053474135158,13.1447000123507,4.08175085018208E-09
PTGDS,0.0265194231589047,10.2135426800908,0.156083359631091
KLF6,-0.463899837470286,11.9646119004035,5.8361817007301E-102
AKR1C1,0.0756675686049228,11.0621461616517,0.751756333811095
AKR1C2,0.118823141286798,10.6386101674053,0.015283557285628
CELF2,0.0470107836174315,10.6928124151725,0.0212046993731739
CCDC3,0.0623265478084224,10.2392828623832,0.107118579771399
VIM,-0.0657636933212702,14.1095185566533,1.65441724141999E-08
NSUN6,0.00855734427585102,10.4358599954384,0.760270449484865
PLXDC2,-0.373786535028317,10.9253882922372,1.05111611141369E-25
ARMC3,-0.0551040172939453,10.2152757034734,0.00191572288234394
ODAD2,0.0503882937864862,10.2273257277241,0.143156732111729
MPP7,-0.177932730748265,10.9275537810248,5.32221961923921E-05
ZEB1,-0.0956440714268572,10.9525192909378,0.278466725985518
NRP1,0.0710769221344156,10.2237258886993,0.00892614846859272
PARD3,-0.109188722511452,10.5749259984995,0.148512591291348
CXCL12,0.0273273734535771,10.223199266927,0.378365699957022
DEPP1,0.314983002229979,10.3198293874248,7.85912217714927E-12
FAM25G,-0.0174341256017168,10.2145755478203,0.093702909357138
PRKG1,-0.149930506961344,10.6197417484653,0.0728903429052181
JMJD1C,-0.266618450935197,11.417637511294,2.32463104660832E-17
SRGN,0.253683680421037,10.3119874481271,6.78155762563463E-07
DDIT4,0.369743393490074,10.5180783800942,1.72150358519785E-17
LRMDA,-0.178508697619408,11.0321496796698,4.4590576763288E-07
RPS24,-0.000341329349297924,13.4860283105839,0.504217933340965
PLAC9,0.801939887373602,11.140598111208,1.10046783108747E-206
NRG3,-0.0425927490459672,10.9032149362076,0.692261443023443
SNCG,0.277686502790281,11.252152165542,2.90580925398445E-25
ADIRF,0.230783133858989,12.578595788324,9.42631795866379E-26
ACTA2,0.0862677750239087,10.2239095955157,0.0295871564862702
CH25H,0.435852561861772,10.2701743492982,6.00155716357246E-25
SORBS1,-0.14177362037319,10.5619868996594,0.000682317194346955
MKI67,-0.0305518404874768,10.2177680207393,0.0768654651915814
IFITM1,0.176440966100645,10.2329442785834,1.24494845684891E-07
IFITM3,0.475314519983878,12.0323892047609,1.95503188152151E-204
IGF2,0.158137819735648,10.2392880560856,1.00845296651466E-05
PHLDA2,-0.0813449243505842,10.2457893204,0.059908069054876
RPL27A,-0.0556415526290388,12.0636455436429,0.00396015808134528
ADM,-0.0479219302863321,10.4247206866052,0.561905778130035
AMPD3,-0.146024003358644,10.2361221462142,9.19999024951177E-05
LYVE1,-0.335802254838824,11.6575102075683,9.87297606293463E-35
RPS13,0.180970386250362,13.1537861631769,3.05063941932108E-64
NAV2,0.026815738330876,10.3358863875298,0.293226691657184
EIF3M,-0.00944675407281113,10.4990065985791,0.9406989975461
CD44,0.195712549676521,10.22201120326,9.74760476671091E-14
C11orf96,0.233300485921281,10.5546896277918,6.98057304453609E-07
MDK,-0.0187405981415117,10.5986136593236,0.925991802652327
FTH1,0.189759983447871,13.4795786324277,1.08899263419308E-56
SCGB1D2,-0.57773557442358,10.3100313286951,1.90963499609281E-32
WDR74,0.529210209248374,10.3474883644529,3.19506626914538E-32
FAU,0.0674728134156959,12.7894541429096,6.71116647075767E-07
SYT12,-0.120882642826275,10.2163825815653,2.14731258757854E-11
RPS3,0.205463754942088,12.7182490930664,4.16245888445122E-84
DLG2,-0.429759709753803,10.7435098480983,4.34824753020226E-23
PICALM,-0.0573644037814847,10.7991862656343,0.907083418511181
MAML2,-0.467860446793313,10.7994640919595,1.82797531542131E-30
BIRC3,0.324510775869761,10.3692384334355,1.14225831901391E-11
CRYAB,-0.11505298457759,10.2189544462826,0.00164062286863081
NNMT,0.603749256422564,11.468381005686,4.63616208550679E-149
SIK3,-0.246187349989282,11.0419632347743,8.76913897972734E-10
TAGLN,0.212688165985498,10.252138763698,2.05890162563356E-05
MCAM,0.0128781277284872,10.2139949203733,0.602823324308523
ESAM,0.0779588323855218,10.3123397264054,0.000809123247519218
GLB1L3,0.00588831788081749,10.2121363301907,0.460092464316384
ANO2,-0.0856174042555598,10.3752612071029,0.149710680735162
CD9,-0.144527394144725,12.5731442913651,2.84051662879569E-26
GAPDH,0.495537583032112,12.0079211090168,3.68119921542427E-231
SLC2A14,-0.0261885741763423,10.221774685492,0.487608821171092
SLC2A3,-0.701810623580218,10.80258173377,1.18201371131822E-73
CD69,-0.0110331061088054,10.2187445590032,0.634289935647168
CLEC2B,-0.507195778394849,10.6559314791399,1.39437413346191E-31
KLRD1,0.295652830904845,10.2662220497443,9.84980867972969E-13
STYK1,-0.138492466511059,10.2288879149826,5.95778241798766E-05
